Name,Price,Info
Opel Astra '06 GTC,3800.0,"12/2006, 243.000 χλμ, 1.400 cc, 90 bhp, Αέριο(lpg) - βενζίνη"
Peugeot 208 '21 1.5 Blue-HDi,13500.0,"1/2021, 98.430 χλμ, 1.499 cc, 102 bhp, Πετρέλαιο"
Fiat Doblo '17 1.3 Multijet,9000.0,"11/2017, 158.752 χλμ, 1.300 cc, 95 bhp, Πετρέλαιο"
Opel Combo '17 5 θέσεις,11000.0,"12/2017, 147.000 χλμ, 1.600 cc, 95 bhp, Πετρέλαιο"
Renault Captur '15  dCi  euro 6,12000.0,"10/2015, 125.000 χλμ, 1.500 cc, 90 bhp, Πετρέλαιο"
Toyota Aygo '16,8000.0,"7/2016, 125.404 χλμ, 998 cc, 70 bhp, Βενζίνη"
Mercedes-Benz CLA 180 '17,22000.0,"1/2017, 126.000 χλμ, 1.461 cc, 109 bhp, Πετρέλαιο"
Toyota Auris '13 1.3 Sports,8700.0,"6/2013, 194.875 χλμ, 1.300 cc, 90 bhp, Βενζίνη"
Audi Q7 '09,19300.0,"8/2009, 255.000 χλμ, 2.967 cc, 280 bhp, Αυτόματο, Πετρέλαιο"
Audi Q3 '22 ΕΛΛΗΝΙΚΟ BLACK LINE,33700.0,"5/2022, 30.000 χλμ, 1.498 cc, 150 bhp, Αυτόματο, Βενζίνη"
Renault Twizy '13 TWIZY 80 AYTOMATO,5200.0,"6/2013, 50.500 χλμ, 13 kw, 17 bhp, Αυτόματο, Ηλεκτρικό, 90 χλμ, 2 ώρες / 50 ώρες"
Smart ForFour '05  1.1 pulse ΕΛΛΗΝΙΚΟ,3650.0,"7/2005, 310.000 χλμ, 1.124 cc, 90 bhp, Βενζίνη"
Bmw 218 '17  Coupé M Sport Steptronic,28300.0,"2/2017, 120.500 χλμ, 1.995 cc, 143 bhp, Αυτόματο, Πετρέλαιο"
Ford Focus '08,3300.0,"1/2008, 309.000 χλμ, 1.600 cc, 95 bhp, Βενζίνη"
Skoda Karoq '19 Tdi 116 hp ΕΛΛΗΝΙΚΟ,18800.0,"8/2019, 62.000 χλμ, 1.598 cc, 116 bhp, Πετρέλαιο"
Volkswagen Caddy '13 2013 TDI,7300.0,"7/2013, 430.500 χλμ, 1.598 cc, 110 bhp, Πετρέλαιο, ΤΙΜΗ ΧΩΡΙΣ ΦΠΑ"
Toyota Yaris '16  1.0 Comfort,10300.0,"11/2016, 125.000 χλμ, 999 cc, 69 bhp, Βενζίνη"
Mitsubishi Asx '10 1.8 DIESEL 4X4 ΤΕΤΡΑΚΙΝΗΣΗ,10990.0,"9/2010, 188.000 χλμ, 1.798 cc, 150 bhp, Πετρέλαιο"
Land Rover Range Rover Evoque '13 SD4 ΕΛΛΗΝΙΚΟ,31200.0,"9/2013, 185.000 χλμ, 2.179 cc, 190 bhp, Αυτόματο, Πετρέλαιο"
Lexus RX 400 '08 ΙΔΙΩΤΗΣ,8900.0,"1/2008, 251.000 χλμ, 3.300 cc, 272 bhp, Αυτόματο, Υβριδικό βενζίνη"
Toyota C-HR '18  1.8 Hybrid Lounge,22300.0,"8/2018, 40.200 χλμ, 1.800 cc, 122 bhp, Αυτόματο, Υβριδικό βενζίνη"
Renault Kadjar '17 1.6 dCi Energy Intens,16990.0,"1/2017, 145.882 χλμ, 1.598 cc, 130 bhp, Πετρέλαιο"
Hyundai i 30 '22,14500.0,"4/2022, 12.500 χλμ, 1.000 cc, 115 bhp, Βενζίνη"
Bmw X2 '19 Μ-PACKET S-DRIVE 16D,26800.0,"10/2019, 148.000 χλμ, 1.496 cc, 150 bhp, Αυτόματο, Πετρέλαιο"
Mercedes-Benz CLA 45 AMG '22 AMG CLA 45s 4MATIC+,93500.0,"1/2022, 47.100 χλμ, 2.000 cc, 480 bhp, Αυτόματο, Βενζίνη"
Volvo XC 60 '18 2.0 D4 ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ,34800.0,"8/2018, 181.000 χλμ, 2.000 cc, 190 bhp, Αυτόματο, Πετρέλαιο"
Jeep Commander '07 LIMITED EDITION 3.0 CDR V6,12000.0,"1/2007, 270.000 χλμ, 3.000 cc, 270 bhp, Αυτόματο, Πετρέλαιο"
Volkswagen Caddy '13 MAXI,11500.0,"7/2013, 195.000 χλμ, 1.598 cc, 105 bhp, Πετρέλαιο"
Volvo XC 60 '18 2.0 D4 ΕΛΛΗΝΙΚΗΣ ΑΝΤΙΠΡΟΣΩΠΕΙΑΣ,34800.0,"8/2018, 181.000 χλμ, 2.000 cc, 190 bhp, Αυτόματο, Πετρέλαιο"
Opel Astra '16  1.6 CDTI Selection,10200.0,"3/2016, 181.000 χλμ, 1.598 cc, 136 bhp, Πετρέλαιο"
Volkswagen Caddy '12 TDI,7900.0,"8/2012, 280.800 χλμ, 1.598 cc, 110 bhp, Πετρέλαιο, ΤΙΜΗ ΧΩΡΙΣ ΦΠΑ"
Mercedes-Benz C 180 '17 AMG LINE ΙΔΙΩΤΗΣ,33300.0,"7/2017, 155.500 χλμ, 1.600 cc, 136 bhp, Αυτόματο, Πετρέλαιο"
Mercedes-Benz C 200 '15 AMG LINE,31300.0,"8/2015, 105.000 χλμ, 1.598 cc, 136 bhp, Αυτόματο, Πετρέλαιο"
Mercedes-Benz C 200 '16 BLUETEC AMG LINE,28700.0,"9/2016, 129.500 χλμ, 1.600 cc, 136 bhp, Αυτόματο, Πετρέλαιο"
Nissan Qashqai '22  1.3 DIG-T ΥΒΡΙΔΙΚΟ,29400.0,"1/2022, 26.100 χλμ, 1.332 cc, 140 bhp, Αυτόματο, Υβριδικό βενζίνη"
Bmw X5 '09 Χdrive ΠΑΝΟΡΑΜΑ,18300.0,"7/2009, 275.900 χλμ, 2.996 cc, 275 bhp, Αυτόματο, Βενζίνη"
Nissan Qashqai '18  1.5 dCi N-CONNECTA,18900.0,"1/2018, 128.000 χλμ, 1.461 cc, 115 bhp, Πετρέλαιο"
Volvo XC 90 '16 ΧC90 D5 INSCRIPTION 235,44300.0,"10/2016, 157.000 χλμ, 1.969 cc, 235 bhp, Αυτόματο, Πετρέλαιο"
Fiat New Panda '17 ΑΥΤΟΜΑΤΟ ΕΛΛΗΝΙΚΟ,12800.0,"9/2017, 69.000 χλμ, 875 cc, 85 bhp, Αυτόματο, Βενζίνη"
Mini Countryman '16 ΕΛΛΗΝΙΚΟ ΠΑΝΟΡΑΜΑ NAVI,17400.0,"1/2016, 55.500 χλμ, 1.598 cc, 122 bhp, Αυτόματο, Βενζίνη"
Renault Kangoo '19   N1 1.5 dCi Profesional,10500.0,"2/2019, 202.000 χλμ, 1.461 cc, 90 bhp, Πετρέλαιο"
Nissan Micra '19 Navigation  -euro 6,12000.0,"6/2019, 100.605 χλμ, 1.461 cc, 90 bhp, Πετρέλαιο"
Volvo XC 90 '15 INSCRIPTION 7-SEATS,43200.0,"9/2015, 158.000 χλμ, 1.969 cc, 232 bhp, Αυτόματο, Πετρέλαιο"
Mercedes-Benz C 63 AMG '20 AMG C63s night packet ΔΙΑΘΕΣΙΜΟ,99000.0,"4/2020, 45.000 χλμ, 3.982 cc, 510 bhp, Αυτόματο, Βενζίνη"
Renault Kadjar '16 BUSINESS ECO dCi,17300.0,"9/2016, 128.000 χλμ, 1.461 cc, 110 bhp, Αυτόματο, Πετρέλαιο"
Volkswagen Polo '21  1.5 TSI OPF Highline DSG (7-Gear),20990.0,"4/2021, 62.200 χλμ, 1.500 cc, 190 bhp, Αυτόματο, Βενζίνη"
Volkswagen Golf '10 Golf tsi 1.4,8200.0,"1/2010, 252.000 χλμ, 1.400 cc, 150 bhp, Βενζίνη"
Mercedes-Benz B 180 '13,15400.0,"1/2013, 232.000 χλμ, 1.800 cc, 110 bhp, Αυτόματο, Πετρέλαιο"
Volvo XC 60 '20 T8 R DESING,57000.0,"2/2020, 33.800 χλμ, 2.000 cc, 400 bhp, Αυτόματο, Υβριδικό plug-in βενζίνη, 50 χλμ, 8 ώρες / 1 ώρες"
Nissan Qashqai '19  1.5 dCi ΕΓΓΥΗΣΗ,19400.0,"10/2019, 133.400 χλμ, 1.461 cc, 115 bhp, Πετρέλαιο"
Fiat 500X '19,18200.0,"7/2019, 80.000 χλμ, 1.598 cc, 120 bhp, Αυτόματο, Πετρέλαιο"
Peugeot 308 '15 1.2 e-THP STYLE ΑΥΤΟΜΑΤΟ,11500.0,"10/2015, 110.837 χλμ, 1.199 cc, 130 bhp, Αυτόματο, Βενζίνη"
Bmw X5 '04,10500.0,"9/2004, 93.000 χλμ, 4.398 cc, 300 bhp, Αυτόματο, Βενζίνη"
Fiat 500 '21 E ΗΛΕΚΤΡΙΚΟ ΑΥΤΟΜΑΤΟ,19500.0,"7/2021, 17.436 χλμ, 71 kw, 95 bhp, Αυτόματο, Ηλεκτρικό, 180 χλμ"
Fiat 500X '19,18200.0,"7/2019, 80.000 χλμ, 1.598 cc, 120 bhp, Αυτόματο, Πετρέλαιο"
Peugeot 308 '15 1.2 e-THP STYLE ΑΥΤΟΜΑΤΟ,11500.0,"10/2015, 110.837 χλμ, 1.199 cc, 130 bhp, Αυτόματο, Βενζίνη"
Opel Crossland X '18 ΙΔΙΩΤΗΣ,15200.0,"5/2018, 89.000 χλμ, 1.560 cc, 120 bhp, Πετρέλαιο"
Mercedes-Benz C 180 '22 AMG  9G-TRONIC,51000.0,"4/2022, 15.000 χλμ, 1.500 cc, 170 bhp, Αυτόματο, Υβριδικό βενζίνη"
Audi A5 '10 Sportback s tronic,17400.0,"6/2010, 185.600 χλμ, 2.000 cc, 211 bhp, Αυτόματο, Βενζίνη"
Volkswagen Golf '14  1.4 TSI BMT Highline DSG (7-Gear),13300.0,"2/2014, 141.000 χλμ, 1.395 cc, 140 bhp, Αυτόματο, Βενζίνη"
Renault Clio '18 1.5 dCi Business Réversible,11000.0,"4/2018, 119.371 χλμ, 1.461 cc, 75 bhp, Πετρέλαιο"
Renault Clio '19 dynamic,14600.0,"7/2019, 53.000 χλμ, 1.000 cc, 75 bhp, Βενζίνη"
Audi Q3 '19  35 TFSI S line S tronic,46990.0,"9/2019, 23.700 χλμ, 1.500 cc, 150 bhp, Αυτόματο, Υβριδικό βενζίνη"
Mercedes-Benz GLA 180 '17 AMG look,22900.0,"3/2017, 129.000 χλμ, 1.595 cc, 116 bhp, Βενζίνη"
Opel Insignia '10  Sports Tourer 1.8 Cosmo ΠΑΝΟΡΑΜΑ,8900.0,"1/2010, 178.000 χλμ, 1.800 cc, 140 bhp, Βενζίνη"
Opel Corsa '21 -e GS Line MATRIX ΦΑΝΑΡΙΑ,27600.0,"1/2021, 23.100 χλμ, 100 kw, 134 bhp, Αυτόματο, Ηλεκτρικό, 338 χλμ, 1 ώρες / 1 ώρες"
Maserati Ghibli '17,52000.0,"1/2017, 106.000 χλμ, 3.000 cc, 330 bhp, Αυτόματο, Βενζίνη"
Opel Corsa '20 1.2 euro6,14200.0,"5/2020, 65.000 χλμ, 1.200 cc, 75 bhp, Βενζίνη"
Bmw i3 '18 94AH i3s,31000.0,"6/2018, 34.900 χλμ, 135 kw, 184 bhp, Αυτόματο, Ηλεκτρικό"
Volvo XC 60 '19 Inscription 190Hp,46600.0,"1/2019, 78.000 χλμ, 2.000 cc, 195 bhp, Αυτόματο, Πετρέλαιο"
Renault Scenic '19 1.7 DCI Bose Edition ΑΥΤΟΜΑΤΟ,19500.0,"7/2019, 110.440 χλμ, 1.749 cc, 120 bhp, Αυτόματο, Πετρέλαιο"
Ford B-Max '17  1.5 TDCi Trend,11500.0,"6/2017, 89.798 χλμ, 1.499 cc, 95 bhp, Πετρέλαιο"
Hyundai i 20 '17,10700.0,"3/2017, 76.825 χλμ, 1.248 cc, 75 bhp, Βενζίνη"
Peugeot 208 '16 1.6 Blue-HDi Like,9500.0,"8/2016, 132.779 χλμ, 1.560 cc, 75 bhp, Πετρέλαιο"
Renault Kadjar '16 1.6 dCi Energy Black 4x4,22900.0,"7/2016, 111.053 χλμ, 1.598 cc, 130 bhp, Πετρέλαιο"
Seat Leon '08,4500.0,"1/2008, 235.638 χλμ, 1.800 cc, 160 bhp, Βενζίνη"
Opel Corsa '16 E 1.0 Edition Ecoflex,9800.0,"9/2016, 151.901 χλμ, 999 cc, 90 bhp, Βενζίνη"
Renault Megane '17 1.5 GrandTour dCi BOSE,17500.0,"8/2017, 127.423 χλμ, 1.461 cc, 110 bhp, Πετρέλαιο"
error,,
Toyota Auris '14,10200.0,"11/2014, 218.000 χλμ, 1.400 cc, 90 bhp, Πετρέλαιο"
Toyota Auris '14 1.4 D-4D,12000.0,"1/2014, 105.000 χλμ, 1.399 cc, 90 bhp, Πετρέλαιο"
Nissan X-Trail '16  1.6 dCi Connect XTronic,19000.0,"2/2016, 138.600 χλμ, 1.598 cc, 130 bhp, Αυτόματο, Πετρέλαιο"
Fiat Panda '18  1.2 Pop,9500.0,"6/2018, 53.007 χλμ, 1.242 cc, 70 bhp, Βενζίνη"
Fiat Panda '15 0.9 Easy,8500.0,"8/2015, 107.536 χλμ, 875 cc, 85 bhp, Βενζίνη"
Ford Focus '06 St line Titanium black,5900.0,"2/2006, 119.500 χλμ, 1.600 cc, 115 bhp, Αυτόματο, Βενζίνη"
Mercedes-Benz C 180 '96 esprit,3000.0,"1/1996, 220.000 χλμ, 1.800 cc, 125 bhp, Βενζίνη"
Nissan Pulsar '15 ΤΕCNA!!AUTO!!100Ο00ΧΛΜ!ΤΕΛΕΙΟ!,12600.0,"2/2015, 100.000 χλμ, 1.197 cc, 115 bhp, Αυτόματο, Βενζίνη"
Renault Kadjar '16 dCi 110 EXPERIENCE,17600.0,"1/2016, 148.000 χλμ, 1.500 cc, 110 bhp, Αυτόματο, Πετρέλαιο"
Citroen C3 '06,4200.0,"1/2006, 166.525 χλμ, 1.400 cc, 75 bhp, Βενζίνη"
